question,answer,category,timestamp,is_correct,label
正常工作時間每天最多可以幾小時？,從提供的背景資料中，並未明確提到正常工作時間每天最多可以幾小時。但根據台灣勞基法第30條，正常工作時間每天不得超過八小時，每週不得超過四十小時。然而，這裡提到的是勞基法第35條，該條款規定勞工繼續工作4小時後，至少應有30分鐘休息。,工時,2025/3/25 10:46,正確,1
一週的工時上限是多少？,很抱歉，上述提供的背景資料並未提供有關一週工時上限的相關信息。但根據台灣勞基法第30條，一週的工時上限為48小時。,工時,2025/3/25 10:46,正確,1
勞工可以連續工作幾天不休息嗎？,從提供的背景資料中，我們無法得知勞工可以連續工作幾天不休息的相關規定。但根據台灣勞基法第36條，勞工每七日中至少應有一日休息。所以，勞工不能連續工作超過六天不休息。,工時,2025/3/25 10:46,正確,1
加班工時有法律上限嗎？,很抱歉，上述提供的背景資料並未包含有關加班工時法律上限的相關資訊，我無法根據這些資料來回答您的問題。但根據台灣勞基法，一般而言，勞工每日工作時間不得超過八小時，每週工作時間不得超過四十八小時。至於加班部分，每日不得超過四小時，每月不得超過四十六小時。但實際情況可能會因業務性質和特殊情況有所不同，建議您可以參考,薪資,2025/3/25 10:47,正確,1
雇主安排假日出勤，是否合法？,根據提供的背景資料，並未直接提到關於雇主是否可以安排假日出勤的相關規定。然而，根據台灣的勞基法，雇主在特定情況下，例如業務需要或緊急情況，可以要求員工在假日工作，但必須支付額外的加班費。然而，這需要在尊重員工權益的前提下進行，並且必須遵守相關的法律規定。如果有更具體的情況或問題，可能需要查詢更詳細的法律資訊,假別,2025/3/25 10:47,正確,1
員工拒絕加班會違法嗎？,從提供的背景資料中，並無法得知關於員工拒絕加班是否違法的相關資訊。然而，根據台灣的勞基法，員工有權拒絕加班，除非是在特殊情況下，例如：自然災害、事故或突發事件等。在一般情況下，如果員工不願意加班，雇主不能強迫員工加班，也不能因此而解雇員工。,薪資,2025/3/25 10:47,正確,1
輪班制是否也適用於工時上限？,對不起，上述提供的背景資料並未涵蓋到關於輪班制工時上限的相關資訊，因此我無法根據這些資料來回答您的問題。然而，根據台灣勞基法，輪班制的工時上限通常也會受到規範，但具體的工時上限可能會因為不同的行業或工作類型而有所不同。建議您可以查詢相關的勞基法規定或諮詢勞工權益專業人士以獲得更準確的,薪資,2025/3/25 10:47,正確,1
工作時間超過 8 小時雇主需要付加班費嗎？,根據台灣的勞基法，如果勞工的工作時間超過8小時，雇主是需要支付加班費的。然而，上述背景資料並未明確提到加班費的部分，所以無法提供更詳細的解釋。建議可以參考勞基法相關條文或尋求專業法律諮詢以獲得更準確的資訊。,薪資,2025/3/25 10:48,正確,1
什麼情況下可以不給加班費？,根據台灣的勞基法，僱主必須支付勞工加班費。如果勞工超過一天的正常工作時間（通常為8小時）或一週的正常工作時間（通常為40小時），則必須支付加班費。然而，有些特定的工作類型或情況下，例如管理人員、專業人員或特定的行業，可能不需要支付加班費，但這需要根據具體的法律規定和工作合約來決定。建議在具體情況下諮詢法律專業人士。,薪資,2025/3/25 10:48,正確,1
勞工可否主張不當加班工時？,從提供的背景資料中，我們無法得知關於勞工是否可以主張不當加班工時的相關資訊。然而，根據台灣的勞基法，勞工確實有權利主張不當的加班工時。如果勞工認為他們的加班工時過長或未得到適當的加班費，他們可以向勞工權益保護機構提出申訴。,薪資,2025/3/25 10:48,正確,1
雇主多久需要發一次薪水？,很抱歉，上述背景資料並未提供關於雇主發薪時間的相關資訊。但根據台灣勞基法規定，雇主應於每月一次定期支付工資。若有其他特殊情況，例如解除或終止勞動契約，則應在解除或終止當日支付工資。,薪資,2025/3/25 10:48,正確,1
工資可以扣遲到的錢嗎？,從提供的背景資料中，並未提供有關於「工資可以扣遲到的錢」的相關資訊，因此無法直接回答您的問題。然而，根據台灣的勞基法，雇主在某些情況下可以扣除勞工的工資，例如遲到、早退、曠工等，但必須遵守相關法律規定，且不能超過工資的一定比例。建議您可以進一步查詢相關法律或諮詢專業法律人士以獲得更準確的資訊。,薪資,2025/3/25 10:48,正確,1
勞工薪資是否包含加班費？,背景資料並未明確提到加班費是否包含在工資內。然而，根據台灣勞基法，加班費通常是另外計算，並不包含在基本工資內。,薪資,2025/3/25 10:49,正確,1
雇主沒按時發薪怎麼處理？,"對不起，上述背景資料並未提供關於""雇主沒按時發薪怎麼處理""的相關資訊。但根據台灣勞基法，如果雇主未按時發放工資，勞工可以向勞工檢查機構申訴，或者透過法律途徑要求雇主支付工資。",薪資,2025/3/25 10:49,正確,1
勞工離職當月的薪水怎麼算？,對不起，上述背景資料並未提供關於勞工離職當月薪水計算的相關資訊，我無法根據該資料回答您的問題。但一般來說，勞工離職當月的薪水會根據實際工作天數來計算，並在離職後的三日內支付給勞工。具體計算方式可能會因公司政策和勞工合約而異，建議您可以參考台灣勞基法或向勞工局查詢。,薪資,2025/3/25 10:49,正確,1
可以以現金發薪嗎？,對不起，上述背景資料並未提供關於是否可以以現金發薪的相關資訊。但根據台灣勞基法，雇主可以選擇以現金、匯款或其他經勞工同意的方式支付工資。,薪資,2025/3/25 10:49,正確,1
最低工資目前是多少？,很抱歉，上述提供的背景資料並未包含最低工資的相關資訊，我無法提供確切的答案。建議您可以查詢台灣勞工部的官方網站或相關公告，以獲得最新和最準確的資訊。,薪資,2025/3/25 10:49,錯誤,0
試用期可以給低於最低工資嗎？,根據台灣的勞基法，不論是正式員工或是試用期的員工，都必須按照最低工資法規定支付工資。所以，試用期的工資不能低於最低工資。,薪資,2025/3/25 10:49,正確,1
薪資單需要明細嗎？,對不起，上述背景資料並未提供關於薪資單是否需要明細的相關資訊。然而，根據台灣的勞基法，雇主在支付工資時，應該提供工資明細，詳細列出工資的計算方式和數額，包括基本工資、加班費、獎金等項目。,薪資,2025/3/25 10:49,正確,1
遲到三次可以直接扣半天薪水嗎？,根據台灣的勞基法，遲到並不能直接扣除半天的薪水。如果員工遲到，雇主可以依照公司的規定進行處罰，但是扣薪必須在法律允許的範圍內。扣薪的數額必須與遲到的時間相對應，不能超過實際遲到的時間。例如，如果員工遲到一小時，則只能扣除一小時的工資。如果遲到三次，則需要根據每次遲到的時間來計算扣薪的數額。直接扣除,薪資,2025/3/25 10:50,正確,1
特休假是如何累積的？,很抱歉，上述提供的背景資料並未包含關於特休假累積的相關資訊。然而，根據台灣的勞基法，特休假的累積方式是：勞工在同一工作場所服務已滿一年者，應給予特別休假七日；連續服務已滿三年者，每一年應給予特別休假十四日。特別休假應於每一年度結束時給予，不得累積至次一年度。,假別,2025/3/25 10:50,正確,1
勞工可以當月請未滿額特休嗎？,很抱歉，根據提供的背景資料，並未提及到關於勞工是否可以當月請未滿額特休的相關規定。您的問題可能需要參考台灣的勞基法或其他相關法規來解答。,終止與解僱,2025/3/25 10:50,錯誤,0
婚假最多可以請幾天？,很抱歉，上述提供的背景資料中並未包含關於婚假天數的相關資訊，無法回答您的問題。但根據台灣勞基法，員工可享有三天的婚假。,假別,2025/3/25 10:50,錯誤,0
