question,answer_gpt,is_correct
正常工作時間每天最多可以幾小時？,對不起，提供的背景資訊中並未包含關於正常工作時間每天最多可以幾小時的資訊。請提供相關的法規或規定，我將很樂意為您解答。,錯誤
一週的工時上限是多少？,對不起，提供的背景資訊中並未包含一週的工時上限相關的資訊。請提供更多相關的資訊以便我能提供更準確的回答。,錯誤
勞工可以連續工作幾天不休息嗎？,對不起，提供的背景資訊中並未包含關於勞工可以連續工作幾天不休息的相關規定，我無法提供確切的答案。建議您可以參考相關的勞動法規或是詢問勞工權益相關單位。,錯誤
加班工時有法律上限嗎？,對不起，根據提供的背景資訊，我無法確定加班工時是否有法律上限。建議您查詢相關的勞動法規或向專業的勞工諮詢機構尋求幫助。,錯誤
雇主安排假日出勤，是否合法？,根據提供的背景資訊，並未提及關於雇主安排假日出勤的相關法規。因此，無法根據目前的資訊來判斷雇主安排假日出勤是否合法。建議參考相關勞動法規或諮詢專業人士。,錯誤
員工拒絕加班會違法嗎？,根據提供的背景資訊，並未明確提到員工拒絕加班是否違法的相關規定。然而，一般來說，員工是否需要加班通常會依照勞動契約或公司政策來決定。如果員工的勞動契約中有明確規定需要加班，且加班時間、加班費等符合當地勞動法規，那麼員工,錯誤
輪班制是否也適用於工時上限？,對不起，提供的背景資訊中並未包含關於輪班制是否適用於工時上限的相關資訊，因此無法提供確定的答案。建議您可以參考相關的勞動法規或是詢問專業的法律顧問。,錯誤
工作時間超過 8 小時雇主需要付加班費嗎？,根據提供的背景資訊，並未明確提到工作時間超過8小時雇主是否需要付加班費的相關規定。然而，一般來說，根據勞動基準法，如果勞工的工作時間超過一日八小時或一週四十小時，雇主通常需要支付加班費。具體的規定可能會因地區和特定的工作條件而異，建議可以參,錯誤
什麼情況下可以不給加班費？,根據提供的背景資訊，並未明確說明什麼情況下可以不給加班費。然而，根據勞動基準法，雇主必須支付加班費給員工。如果員工的工作時間超過正常工作時間，則應支付加班費。如果員工在休息日工作，也應支付加班費。如果員工的工作時間未超過正常工作時間，或者,錯誤
勞工可否主張不當加班工時？,根據提供的背景資訊，勞工有權主張不當的加班工時。事業單位在安排勞工加班時，必須遵守相關的勞動法規，例如加班費的計算標準應以勞工底薪為基礎，並且工資應全額如期給付，不可事後補給。此外，延長工時加班規定也需要注意，,正確
雇主多久需要發一次薪水？,對不起，提供的背景資訊中並未包含關於雇主需要多久發一次薪水的相關資訊。請提供更多相關的資訊以便我能提供更準確的回答。,錯誤
工資可以扣遲到的錢嗎？,根據我所獲得的資訊，並未提到工資可以扣遲到的錢的相關規定。如果需要更詳細的資訊，建議您可以參考勞動基準法或是向相關勞工權益機構諮詢。,錯誤
勞工薪資是否包含加班費？,是的，勞工的薪資應該包含加班費。根據勞動基準法，如果勞工超過正常工作時間，雇主必須支付加班費。這是勞工的權益，不得侵犯。,正確
